name,department,doctor,designation,working_days,working_hours,break,appointment_booking,contact_number,address,website,emergency_number
IITGN Medical Center,General,Dr. Deepa Shah,Medical Consultant,Mon-Fri,13:30-16:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,General,Dr. Bhavesh Panchal,Medical Consultant,Mon-Fri,16:30-18:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,General,Dr. Bhavesh Panchal,Medical Consultant,Sat,13:30-15:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,General,Dr. Vinita Bhoja Shetty,Medical Officer,Mon-Fri,09:00-17:30,13:00-13:30,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,Physiotherapy,Dr. Himani Patel,Visiting Physio Consultant,Tue-Thu,09:30-12:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,Physiotherapy,Dr. Himani Patel,Visiting Physio Consultant,Fri-Sat,16:00-19:00,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,Physiotherapy,Dr. Darshan Patel,Visiting Physio Consultant,Sat,16:00-18:00,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,General,Dr. Navdeep Tiwari,Resident Medical Doctor,Mon-Fri,17:00-21:00,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,General,Dr. Navdeep Tiwari,Resident Medical Doctor,Sun,10:00-13:00,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,Psychiatry,Dr. Harshil Shah,Consultant Psychiatrist,Wed,09:30-11:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,Gynecology,Dr. Jainisha Patel,Gynecologist,Wed & Fri,15:00-16:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
IITGN Medical Center,Pediatrics,Dr. Maulik Kapadia,Pediatrician,Tue & Thu,15:00-16:30,,https://iitgn.ac.in/medicalcenter/book-appointment,079-2395-1116,"IIT Gandhinagar, Palaj, Gandhinagar, GJ 382355",https://iitgn.ac.in/medicalcenter,+91-70-69-79-5000
